Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
M,300.2,309.3,1516,37.5,154,0
H,300.3,309.3,1346,48.2,87,0
M,301.2,310.4,1682,31.5,37,0
L,300.8,311.6,1508,45.8,89,0
M,302.0,310.2,1627,34.3,120,0
L,301.3,310.5,1303,51.1,8,0
H,302.8,311.6,1380,49.0,107,0
L,300.4,312.2,1463,40.0,193,0
L,301.2,310.8,1446,53.8,176,0
L,300.2,312.0,1355,56.8,9,0
L,300.8,310.6,1956,21.1,107,0
L,301.4,310.9,1584,31.1,14,0
M,299.1,310.0,1600,43.3,91,0
L,297.9,308.3,1521,37.4,182,0
L,301.2,309.7,1551,40.3,24,0
L,302.2,310.9,1683,33.4,193,0
H,299.7,308.8,1849,21.9,160,0
L,298.5,310.1,1537,41.7,20,0
L,301.5,311.4,1445,46.5,57,0
L,300.7,311.9,1368,43.2,226,0
M,303.9,313.0,1617,35.1,72,0
M,299.5,311.6,1509,38.6,6,0
L,297.3,308.0,1400,43.4,120,0
L,298.5,309.4,1312,66.2,9,1
L,297.5,308.3,1367,46.1,70,0
H,299.7,311.4,1356,56.0,47,0
L,301.2,310.6,1505,39.1,46,0
M,297.5,308.5,1568,41.2,87,0
L,301.8,309.6,1358,45.3,117,1
H,298.9,308.5,1521,38.8,173,0
L,300.7,311.2,1490,39.7,111,0
M,297.7,308.5,1436,39.3,182,0
M,298.0,308.9,1507,40.5,28,0
L,300.5,311.1,1375,51.0,187,0
L,301.3,311.3,2486,13.5,167,0
L,296.9,309.6,1506,40.6,146,0
L,296.0,305.9,1385,48.8,85,0
M,299.9,309.9,1352,49.2,98,0
H,296.7,307.0,1583,32.7,39,0
M,301.2,310.5,2011,21.4,199,0
L,297.3,308.2,1420,44.0,9,0
H,300.3,312.1,1326,59.0,119,0
M,300.0,311.6,1355,54.1,158,0
M,302.3,310.0,1379,49.7,108,1
L,300.8,312.3,1391,45.8,226,1
M,299.9,309.7,1442,37.6,168,0
M,303.8,312.1,1486,42.0,147,0
L,296.6,307.7,1379,48.9,3,0
L,300.1,309.8,1505,48.1,172,0
M,302.3,311.7,1529,39.8,187,0
M,302.1,310.7,1524,35.8,10,0
L,299.1,308.5,1455,42.8,149,0
L,301.7,310.7,1533,41.3,61,0
H,298.2,308.1,1601,35.5,156,0
L,302.3,311.5,1800,25.5,193,0
L,297.4,309.5,1657,36.5,42,0
L,298.6,309.1,1459,48.0,1,0
L,298.4,309.2,1358,60.7,189,1
L,300.7,310.5,1556,39.1,10,0
M,298.6,308.3,1732,25.7,157,0
L,298.7,308.0,1472,43.1,161,0
H,298.8,308.7,1613,32.7,17,0
M,298.5,310.4,1513,37.6,30,0
L,302.5,312.7,1485,45.2,65,0
L,299.1,309.8,1627,37.5,212,0
L,297.3,308.1,1311,47.2,177,0
L,301.2,310.3,1372,45.5,188,0
L,300.4,310.9,1514,36.5,162,0
H,299.0,309.2,1320,52.9,47,0
L,300.5,309.8,1411,49.7,195,0
L,302.1,312.4,1344,66.0,202,1
L,302.0,309.9,1515,39.2,117,0
M,299.4,310.9,1489,46.7,220,1
L,298.3,307.5,1537,31.7,195,0
L,298.3,307.6,1523,43.8,70,0
L,300.9,308.8,1478,41.0,95,0
M,302.5,312.2,1473,44.8,77,0
L,295.4,306.5,1833,24.1,28,0
L,298.6,309.5,1534,38.9,128,0
L,297.7,308.7,1449,39.9,98,0
H,299.8,309.8,2551,12.3,83,1
L,299.3,309.9,1314,55.6,186,0
M,301.3,310.7,1827,25.2,20,0
M,302.6,312.3,1486,47.9,5,0
L,296.9,308.2,1446,53.9,6,0
M,301.2,309.8,1546,40.6,16,0
L,303.6,312.6,1668,28.9,176,0
H,298.9,310.4,1589,32.9,221,0
M,297.6,309.3,1429,48.4,86,0
M,299.9,309.3,1605,30.1,154,0
L,302.6,312.1,1588,34.9,30,0
L,297.6,309.1,1353,45.0,138,0
L,299.0,310.3,1454,39.6,30,0
M,297.9,309.9,1693,28.9,34,0
M,301.3,310.5,1390,47.1,101,0
L,300.4,311.1,1560,37.2,8,0
M,303.4,312.8,1492,46.8,146,0
L,300.6,309.8,1643,33.8,46,0
L,298.3,307.9,1689,29.3,18,0
H,297.8,308.1,1502,46.0,148,0
M,297.0,307.9,1675,33.5,116,0
M,298.4,310.2,1509,52.7,188,0
L,299.1,308.9,1454,37.0,17,0
L,302.8,310.1,1419,52.7,142,0
M,298.5,309.8,1765,27.0,115,0
H,302.7,312.0,1790,27.9,209,0
H,301.8,310.8,1373,50.0,173,0
L,297.9,308.0,1434,57.9,55,0
L,302.1,311.1,1565,31.0,29,0
L,303.8,312.6,1548,34.4,12,0
H,301.8,309.2,1464,49.5,19,0
L,300.4,309.0,1432,51.6,49,0
L,299.6,310.0,1512,42.1,88,0
L,301.1,312.4,1483,43.2,170,0
L,302.6,310.8,1356,52.2,155,1
L,300.7,310.7,2045,20.0,27,0
L,302.7,312.7,1584,39.8,239,1
H,299.0,311.2,1329,47.1,144,0
L,297.7,308.0,1389,49.2,42,0
L,299.1,308.3,1572,36.8,78,0
L,300.1,310.8,1672,34.1,90,0
L,301.8,311.6,1808,21.8,30,0
M,300.2,309.7,1444,41.2,145,0
H,303.6,311.4,1518,32.0,212,0
L,299.1,308.6,1406,42.9,200,0
H,300.5,311.4,1735,31.5,201,0
M,299.0,308.8,1308,52.1,184,0
M,301.9,311.5,1409,41.9,62,0
M,304.0,312.9,1425,52.5,48,0
M,297.3,308.1,1384,44.3,3,0
H,301.3,311.1,1612,37.9,186,0
L,297.5,308.2,1365,58.5,162,0
L,303.4,312.0,1540,31.4,153,0
M,298.4,309.4,1569,48.1,23,0
L,301.6,311.6,1662,30.0,18,0
M,298.1,309.7,1519,40.0,209,0
L,295.9,307.1,1454,41.8,111,0
L,304.1,312.4,1726,29.2,6,0
L,300.3,311.6,1696,30.3,105,0
L,299.7,310.6,1463,48.1,14,0
L,301.2,309.9,1253,56.4,197,1
M,300.7,310.8,1536,40.9,51,0
L,301.5,310.7,1507,37.0,135,0
L,298.0,309.0,1623,30.0,103,0
L,299.1,310.1,1664,30.7,8,0
L,298.5,310.0,1490,43.1,12,0
L,301.4,311.4,1460,43.0,131,0
L,301.9,310.9,1605,30.1,0,0
L,295.2,306.4,1280,61.8,26,0
H,299.9,310.2,1377,43.1,66,0
L,298.3,309.0,1590,33.3,2,0
L,304.3,313.2,1426,50.4,124,0
L,302.4,311.7,1407,55.1,205,1
M,300.4,310.2,1516,37.9,36,0
L,296.6,308.7,1722,26.0,150,0
L,299.0,308.9,1316,40.2,111,0
L,297.1,308.4,1419,43.5,18,0
M,300.2,309.3,1822,22.2,157,0
L,299.8,310.8,1384,49.2,191,0
L,301.0,310.3,1547,34.6,154,0
L,300.6,310.7,1453,39.4,158,0
L,303.3,312.7,1591,32.2,181,0
M,299.1,308.8,1407,46.5,62,0
L,298.9,310.1,1383,50.0,51,0
L,299.7,308.8,1468,40.2,127,0
M,297.6,308.9,1759,25.8,119,0
L,300.7,311.7,1535,37.1,12,0
L,301.3,310.8,1687,30.3,190,0
M,299.5,308.9,1572,36.5,79,0
M,300.6,309.9,1461,42.1,165,0
L,300.5,310.2,1287,67.8,42,1
L,298.4,309.3,1540,45.1,33,0
M,302.1,311.9,1368,52.9,126,0
M,298.6,309.2,1527,33.0,207,0
L,298.5,310.4,1506,44.5,115,0
M,300.0,309.7,1358,55.4,133,0
L,299.9,310.8,1491,46.4,51,0
H,297.8,307.3,1528,38.8,164,0
L,300.4,309.6,1316,51.1,178,0
L,301.1,309.8,1401,40.4,60,0
L,300.3,309.7,1468,49.2,27,0
L,300.4,310.9,1579,44.4,74,0
L,301.6,310.8,1168,69.1,137,0
L,302.1,311.1,1326,52.6,179,0
M,298.7,310.3,1445,41.4,187,0
L,298.3,308.2,1499,44.2,169,0
L,302.9,312.0,1512,38.5,79,0
M,301.2,311.1,1487,47.4,72,0
L,297.9,308.6,1507,39.9,152,0
L,302.1,310.0,1458,42.0,195,0
L,302.8,311.2,1386,45.4,74,0
H,300.7,310.0,1448,44.3,138,0
L,301.4,309.8,1583,36.3,8,0
L,300.7,310.5,1588,33.1,102,0
L,298.9,308.8,1419,49.4,13,0
M,296.0,307.1,1543,39.2,43,0
L,300.3,311.7,1667,29.3,161,0
L,302.4,310.0,1498,35.1,72,0
M,300.1,311.5,1374,57.2,129,0
L,300.9,309.8,1719,30.5,99,0
L,299.6,308.4,1498,34.3,73,0
M,300.0,311.7,1377,48.6,206,0
L,298.5,309.1,1370,45.6,201,0
L,296.1,307.7,1405,47.6,11,0
M,297.8,308.8,1438,37.3,33,0
M,301.0,309.2,1559,33.1,141,0
M,299.1,309.5,1424,42.7,221,0
L,298.9,308.7,1549,43.5,47,0
M,299.5,310.5,1737,28.2,221,0
M,299.2,309.2,1720,30.4,50,0
H,298.4,310.4,1396,61.9,161,1
L,304.1,313.6,1437,44.2,183,0
L,301.1,310.6,1563,37.1,13,0
L,300.9,311.3,1992,21.6,140,0
M,297.1,308.7,1689,28.8,15,0
L,298.5,311.0,1413,52.4,3,0
H,301.2,312.2,1492,49.8,24,0
H,297.8,309.1,1376,47.9,21,0
L,300.8,311.4,1462,46.9,206,0
M,300.5,311.3,1637,34.5,213,0
L,298.9,308.8,1733,25.1,35,0
L,302.3,311.2,1486,47.6,79,0
L,298.6,310.0,1427,49.7,149,0
L,296.9,307.8,1454,48.0,30,0
L,297.8,309.0,1353,59.0,37,0
L,297.0,307.5,1720,28.8,190,0
L,299.9,309.2,1412,57.6,119,0
L,302.7,311.1,1360,54.6,157,1
L,304.0,312.5,1649,36.0,116,0
L,300.6,310.4,2512,13.5,216,0
L,297.4,308.1,1841,25.5,139,0
L,298.0,309.0,1724,29.8,174,0
M,297.1,309.1,1486,47.4,143,0
M,303.3,312.7,1589,34.3,70,0
H,297.2,308.4,1426,46.0,106,0
M,300.1,309.8,1464,38.5,154,0
M,300.6,310.3,1734,25.7,109,0
L,300.3,309.2,1546,41.5,189,0
L,303.5,311.4,1342,50.3,10,1
H,301.6,310.5,1528,39.7,138,0
L,300.4,311.9,1373,51.1,187,0
M,301.8,311.7,1537,35.2,107,0
L,298.2,307.6,1534,38.5,81,0
L,296.2,307.2,1431,42.3,23,0
L,301.1,310.7,1485,43.0,225,0
L,300.4,309.5,1431,50.2,173,0
M,297.8,309.5,1482,43.1,57,0
M,301.0,310.4,1570,35.4,192,0
L,299.1,310.2,1368,46.2,38,0
L,303.0,311.2,1766,26.8,138,0
L,302.8,310.0,1440,42.1,106,0
L,297.8,308.4,1470,48.1,68,0
L,298.6,310.6,1485,41.8,37,0
M,298.1,308.2,1467,42.4,118,0
M,299.8,308.6,1931,24.5,151,0
L,299.6,309.6,1378,52.2,120,0
L,298.0,308.2,1459,49.5,167,0
H,298.4,308.6,1432,38.2,176,0
L,298.1,309.9,1678,30.7,194,0
M,297.8,307.5,1429,52.2,90,0
L,301.6,310.8,1341,49.0,181,0
L,301.5,310.8,1415,45.1,176,0
L,298.0,309.6,1428,47.5,184,0
M,298.9,310.2,1559,45.4,17,0
H,300.3,309.9,1498,34.5,114,0
M,302.3,312.1,1520,38.5,73,0
L,298.7,309.9,1608,35.1,177,0
L,300.5,310.2,1516,36.0,197,0
L,297.1,309.1,1514,39.0,89,0
L,302.1,311.2,1627,35.3,184,0
L,301.9,310.6,1846,24.2,143,0
L,300.8,311.6,1570,31.0,216,0
M,302.7,311.2,1611,33.6,224,0
M,298.0,307.7,1450,41.8,104,0
L,297.1,308.0,1621,35.6,218,0
L,298.0,306.9,1399,57.6,173,0
L,299.0,310.3,1816,24.9,80,0
M,298.3,309.0,1390,46.5,160,0
M,299.5,310.0,1622,28.8,68,0
M,300.9,310.9,1368,52.7,180,0
H,300.7,311.5,1673,26.5,57,0
L,299.9,308.4,1506,44.0,10,0
M,296.9,309.0,1858,24.6,155,0
M,298.6,309.9,1324,60.2,97,0
M,299.8,309.7,1593,40.9,158,0
L,300.3,309.1,1573,33.0,212,0
M,298.6,308.6,1625,35.4,22,0
L,300.6,311.8,1317,55.0,19,0
L,296.3,307.8,1596,41.9,135,0
L,299.7,311.2,1398,53.7,164,0
L,303.6,313.0,1405,47.9,13,0
L,300.5,311.5,1510,44.6,37,0
L,301.9,310.7,1716,30.0,182,0
L,297.8,308.7,1388,56.6,215,1
L,297.6,308.7,1685,25.8,66,0
M,302.3,311.0,1312,58.5,169,0
L,299.7,312.0,1497,39.3,213,0
H,298.3,308.7,1970,20.2,200,1
L,296.9,307.6,1275,50.0,143,0
L,303.0,311.1,1485,44.9,183,0
M,298.3,309.3,1513,39.2,84,0
L,299.9,311.7,1564,38.8,24,0
M,296.8,308.3,1606,32.5,203,0
L,300.8,309.5,1702,30.5,80,0
M,303.7,311.4,1464,50.4,165,0
M,298.7,310.3,1443,51.6,147,0
M,297.7,308.6,1370,52.2,217,0
L,301.3,310.4,1657,30.9,178,0
L,303.9,313.5,1396,46.3,90,0
L,300.9,312.2,1492,36.8,152,0
L,300.1,309.0,1332,58.2,115,0
L,301.7,310.5,1379,49.8,22,0
M,300.8,312.1,1702,28.4,194,0
M,298.4,308.9,1472,47.3,122,0
M,300.5,311.0,1476,47.5,40,0
M,300.5,309.2,1431,52.1,209,0
M,302.5,311.3,1933,23.0,56,0
M,297.7,308.1,1389,51.0,217,1
M,297.8,309.1,1679,33.5,188,0
L,297.3,307.9,1516,44.0,120,0
H,303.7,312.1,1399,49.8,54,0
M,297.4,308.0,1287,71.3,153,1
L,301.0,310.4,1354,53.3,202,1
M,297.7,308.3,1578,45.2,17,0
L,301.3,310.3,1530,36.1,200,0
M,296.9,307.8,1446,44.1,134,0
L,300.0,308.8,1711,28.2,51,0
M,302.0,311.6,1470,42.9,36,0
L,303.3,312.2,1467,40.8,51,0
L,297.3,308.7,1523,34.9,210,0
L,300.6,309.3,1530,39.8,147,0
L,301.1,313.2,1441,50.1,118,0
M,300.7,310.5,1384,43.7,205,0
L,300.5,310.7,1324,45.8,214,0
M,301.9,311.4,1617,34.9,117,0
L,298.4,308.7,1456,37.9,189,0
L,298.3,308.7,1490,45.8,60,0
L,300.1,311.7,1507,39.2,178,0
L,301.5,311.0,1340,50.1,36,0
M,299.8,308.6,1377,42.0,33,0
M,299.5,311.0,1512,33.2,132,0
L,301.3,310.8,1537,38.9,63,0
L,298.3,309.1,1658,28.6,141,0
L,299.9,309.6,1338,53.5,67,0
L,301.0,310.6,1543,32.9,92,0
L,297.0,309.0,1447,51.5,189,0
M,297.5,309.4,1588,35.2,124,0
H,301.1,310.9,1983,21.3,100,0
L,301.9,310.4,1479,45.3,36,0
L,301.1,311.0,1248,60.8,108,0
M,303.6,313.2,1590,41.3,127,0
L,300.1,309.9,1379,62.7,156,1
L,297.2,307.8,1511,47.3,160,0
M,301.3,312.3,1558,37.4,71,0
L,297.2,308.1,1569,34.4,197,0
L,301.9,310.4,1348,50.4,133,1
L,299.8,311.5,1681,31.7,30,0
L,301.0,310.7,1372,47.1,71,0
L,297.6,309.1,1325,50.5,100,0
L,300.2,311.8,1381,59.6,210,1
M,301.3,310.2,1471,44.2,0,0
M,299.0,308.3,1577,45.2,104,0
M,297.6,308.9,1576,44.2,16,0
L,300.6,310.7,1457,38.0,158,0
L,299.1,308.2,1468,40.3,109,0
H,297.9,308.1,1575,40.0,48,0
H,302.6,311.1,1566,35.2,165,0
L,300.8,310.5,1439,60.5,209,1
L,304.2,313.0,1756,29.4,76,0
M,300.5,309.6,1594,33.7,150,0
L,303.6,312.9,1398,52.7,79,0
L,297.8,307.9,1487,41.3,81,0
L,297.4,308.4,1543,44.4,193,0
L,300.6,311.0,1371,52.8,172,0
L,303.0,311.7,1403,50.8,198,0
M,296.9,307.6,1545,44.4,193,0
H,298.3,309.9,1530,38.5,83,0
L,299.7,310.1,1335,39.1,103,0
L,303.6,312.4,1471,40.7,136,0
L,298.4,309.8,1427,43.9,50,0
M,303.6,312.2,1547,49.7,106,0
L,300.4,308.7,1823,27.4,120,0
M,298.5,310.3,1357,49.6,123,0
L,301.1,310.7,1544,37.6,75,0
M,303.4,312.1,1671,33.5,103,0
H,301.2,309.3,1428,43.4,191,0
L,300.9,312.5,1404,44.6,115,0
L,296.9,307.9,1515,34.3,126,0
L,297.9,308.3,1587,32.1,198,0
L,298.7,309.4,1551,44.5,135,0
L,299.7,310.1,1929,21.8,9,0
L,300.1,309.7,1622,30.1,38,0
L,298.8,310.2,1576,35.0,84,0
M,302.6,312.2,1940,22.0,17,0
L,302.7,311.6,1610,37.6,32,0
H,301.7,310.3,1380,46.2,133,0
L,296.5,308.2,1575,41.3,133,0
H,300.4,310.5,1610,33.6,43,0
M,299.5,310.5,1487,46.1,219,1
L,298.4,308.2,1413,45.7,60,0
M,301.0,312.4,1573,39.7,88,0
L,303.5,312.4,1490,40.7,100,0
L,299.7,309.4,1593,39.7,39,0
H,301.9,312.3,1496,41.9,50,0
L,298.5,308.1,1396,47.3,131,0
M,299.1,308.5,1455,44.6,46,0
L,302.5,312.0,1469,41.9,203,0
L,300.6,309.8,1589,32.3,73,0
H,301.1,309.3,1524,45.1,124,0
L,297.0,308.0,2250,17.0,181,0
L,300.7,310.5,1379,61.2,71,0
L,302.8,312.6,1662,27.2,203,0
M,300.8,311.7,1368,56.4,34,0
M,302.1,312.1,1630,33.8,54,0
M,299.9,309.3,1597,31.7,122,0
L,300.6,311.0,1404,52.8,190,0
M,302.1,310.6,1680,32.1,139,0
L,303.1,311.4,1802,24.9,161,0
L,300.5,311.2,1425,41.9,89,0
M,300.1,310.1,1585,37.4,164,0
M,302.7,311.0,1508,36.1,80,0
L,297.7,308.3,1444,51.5,92,0
L,300.6,311.3,1609,37.1,158,0
L,300.7,308.8,1465,47.9,48,0
L,299.1,309.7,1548,36.7,179,0
L,303.7,312.6,1546,38.3,178,0
L,301.7,310.4,1437,49.2,41,0
M,301.3,310.2,1508,37.9,173,0
L,300.0,309.3,1659,30.5,202,0
M,303.9,313.4,1602,40.5,78,0
L,301.0,311.2,2473,12.1,167,1
L,301.9,310.4,1611,29.2,103,0
H,299.3,308.0,1420,43.2,17,0
L,297.1,308.9,1538,36.7,172,0
M,301.9,310.6,1405,46.3,46,0
M,301.8,310.5,1835,23.3,208,0
L,299.0,309.1,2840,3.0,144,1
L,300.6,310.3,1608,32.7,132,0
M,300.1,310.5,1967,20.6,84,0
L,301.8,310.3,1883,25.2,30,0
L,298.6,310.7,1558,37.6,97,0
L,303.1,313.2,1338,56.0,192,0
M,301.4,310.9,1345,48.6,122,0
H,301.0,312.1,1726,27.8,205,0
L,297.2,308.7,1446,48.1,144,0
M,300.0,310.6,1596,32.6,133,0
L,299.8,309.3,1951,21.2,54,0
L,300.3,311.1,1571,35.2,111,0
L,298.7,307.6,1521,47.0,76,0
L,303.8,312.6,1629,32.2,41,0
H,302.5,311.7,1308,46.4,143,0
M,302.8,311.1,1923,21.8,57,0
L,299.3,309.8,1502,34.8,214,0
M,300.8,310.6,1373,42.6,110,0
L,304.2,313.1,1602,38.8,126,0
M,300.9,310.8,1426,43.0,60,0
M,302.3,311.7,1359,48.8,197,0
H,297.9,308.8,1446,44.8,98,0
M,299.0,309.8,1668,32.1,172,0
M,296.9,307.4,1841,25.0,155,0
H,298.2,308.0,1483,51.3,72,0
M,304.0,312.2,1526,39.9,156,0
L,297.8,308.2,1347,57.9,36,0
L,302.2,310.7,1488,40.0,217,0
L,297.4,308.8,1551,41.8,122,0
L,298.7,309.5,1569,40.4,202,0
L,302.7,311.9,1732,26.5,195,0
M,300.4,310.7,1651,28.9,65,0
M,299.3,310.0,1312,52.8,105,0
M,296.0,307.0,1624,30.1,18,0
M,301.8,312.1,1428,35.4,84,0
M,303.9,311.7,1579,34.3,136,0
M,297.8,307.3,1795,25.0,51,0
L,300.7,311.4,1506,37.7,72,0
M,301.6,310.9,1646,35.1,115,0
H,297.9,308.1,1560,34.8,161,0
M,299.3,309.4,1552,34.6,91,0
L,298.0,308.3,1725,33.0,37,0
L,298.5,308.6,1401,50.6,141,0
L,302.6,310.5,1503,40.2,155,0
L,297.1,307.6,1546,39.1,217,0
L,299.9,309.5,1712,28.2,132,0
L,301.2,310.7,1417,36.8,147,0
H,303.6,312.7,1577,40.9,148,0
M,303.4,311.9,1321,59.4,4,1
H,299.3,309.0,1734,25.4,97,0
M,298.7,309.8,1668,28.9,198,0
L,300.1,309.0,1390,48.2,195,0
H,297.7,309.1,1728,29.8,212,0
H,297.2,308.1,1489,39.5,184,0
M,300.6,309.9,1499,45.5,92,0
L,300.4,309.5,1411,42.1,58,0
M,299.4,308.6,1334,42.1,28,0
H,303.0,311.7,1573,36.7,47,0
M,298.0,308.2,1481,47.2,79,0
M,302.5,310.8,1546,39.5,141,0
M,296.6,307.3,1447,37.4,13,0
L,298.7,307.7,1568,36.5,82,0
L,302.8,312.5,1776,27.8,103,0
L,298.0,307.8,1746,28.7,144,0
L,298.9,310.1,1605,31.8,231,0
